# page|Swedish excerpt|English translation|Swedish question|English question|correct SV~EN|wrong SV~EN|wrong SV~EN
5|Sverige ligger i Norden i norra Europa.|Sweden is in the Nordic region in northern Europe.|I vilken del av Europa ligger Sverige?|In which part of Europe is Sweden?|Norra Europa~Northern Europe|Centraleuropa~Central Europe|Östra Europa~Eastern Europe
5|Havet vid den östra kusten heter Östersjön.|The sea along the east coast is called the Baltic Sea.|Vad heter havet vid Sveriges östra kust?|What is the sea along Sweden's east coast called?|Östersjön~The Baltic Sea|Kattegatt~The Kattegat|Skagerrak~The Skagerrak
5|Där ligger också Sveriges två största öar, Gotland och Öland.|Sweden's two largest islands, Gotland and Öland, are also located there.|Vilka är Sveriges två största öar?|Which are Sweden's two largest islands?|Gotland och Öland~Gotland and Öland|Gotland och Orust~Gotland and Orust|Öland och Hisingen~Öland and Hisingen
5|I Norden finns fem länder: Danmark, Finland, Island, Norge och Sverige.|The Nordic region has five countries: Denmark, Finland, Iceland, Norway and Sweden.|Vilket land ingår i Norden?|Which country is part of the Nordic region?|Island~Iceland|Estland~Estonia|Lettland~Latvia
6|De tre största sjöarna är Vänern, Vättern och Mälaren.|The three largest lakes are Vänern, Vättern and Mälaren.|Vilken grupp består av Sveriges tre största sjöar?|Which group consists of Sweden's three largest lakes?|Vänern, Vättern och Mälaren~Vänern, Vättern and Mälaren|Vänern, Vättern och Hjälmaren~Vänern, Vättern and Hjälmaren|Vänern, Mälaren och Storsjön~Vänern, Mälaren and Storsjön
6|Mer än hälften av Sveriges yta täcks av skog.|More than half of Sweden's area is covered by forest.|Vad täcker mer än hälften av Sveriges yta?|What covers more than half of Sweden's area?|Skog~Forest|Jordbruksmark~Farmland|Fjäll och annan öppen mark~Mountains and other open land
6|Sverige brukar delas in i tre stora landsdelar: Götaland, Svealand och Norrland.|Sweden is usually divided into three large regions: Götaland, Svealand and Norrland.|Vilka är Sveriges tre landsdelar?|What are Sweden's three large regions?|Götaland, Svealand och Norrland~Götaland, Svealand and Norrland|Götaland, Svealand och Lappland~Götaland, Svealand and Lappland|Götaland, Bergslagen och Norrland~Götaland, Bergslagen and Norrland
6|Norrland omfattar mer än hälften av Sveriges yta.|Norrland covers more than half of Sweden's area.|Vilken landsdel omfattar mer än hälften av Sveriges yta?|Which region covers more than half of Sweden's area?|Norrland~Norrland|Svealand~Svealand|Götaland~Götaland
7|De tre största städerna är Stockholm, Göteborg och Malmö.|The three largest cities are Stockholm, Gothenburg and Malmö.|Vilka är Sveriges tre största städer?|What are Sweden's three largest cities?|Stockholm, Göteborg och Malmö~Stockholm, Gothenburg and Malmö|Stockholm, Göteborg och Uppsala~Stockholm, Gothenburg and Uppsala|Stockholm, Malmö och Västerås~Stockholm, Malmö and Västerås
7|Järn används för att tillverka stål.|Iron is used to make steel.|Vad används järn till enligt texten?|What is iron used to make according to the text?|Stål~Steel|Aluminium~Aluminium|Koppar~Copper
8|Vattenkraft står för en stor del av Sveriges elproduktion.|Hydropower accounts for a large part of Sweden's electricity production.|Vilken energikälla använder enligt texten rinnande vatten i älvar?|Which energy source uses flowing river water according to the text?|Vattenkraft~Hydropower|Tidvattenkraft~Tidal power|Vågkraft~Wave power
8|Det mesta av jordbruket finns därför i södra Sverige.|Most farming is therefore in southern Sweden.|Var finns det mesta av Sveriges jordbruk?|Where is most of Sweden's farming located?|I södra Sverige~In southern Sweden|I mellersta Sveriges inland~In the inland areas of central Sweden|Längs norra Sveriges kust~Along the coast of northern Sweden
9|Det betyder att Sverige inte ska släppa ut mer växthusgaser än vad naturen kan ta upp.|This means Sweden should not emit more greenhouse gases than nature can absorb.|Vad innebär klimatmålet som beskrivs i texten?|What does the climate goal described in the text mean?|Utsläppen ska inte överstiga naturens upptag~Emissions should not exceed what nature absorbs|Utsläppen ska stanna på dagens nivå~Emissions should remain at today's level|Utsläppen ska minska lika mycket varje år~Emissions should fall by the same amount each year
9|En hållbar utveckling handlar om att använda naturresurser på ett sätt så att framtida generationer också kan leva bra.|Sustainable development means using natural resources in a way that allows future generations to live well too.|Vad är ett mål med hållbar utveckling?|What is one aim of sustainable development?|Att även framtida generationer ska leva bra~For future generations to live well too|Att bevara dagens resursanvändning oförändrad~To keep today's resource use unchanged|Att ersätta miljömål med mål för ekonomisk tillväxt~To replace environmental goals with economic growth targets
10|Ordet demokrati kommer från grekiskan och betyder folkstyre.|The word democracy comes from Greek and means rule by the people.|Vad betyder demokrati?|What does democracy mean?|Folkstyre~Rule by the people|Majoritetsstyre utan skydd för minoriteter~Majority rule without protections for minorities|Expertstyre oberoende av väljarnas beslut~Expert rule independent of voters' decisions
10|Valen ska vara hemliga så att ingen behöver avslöja hur de röstar.|Elections must be secret so that nobody has to reveal how they vote.|Varför ska val vara hemliga?|Why must voting be secret?|Ingen ska behöva avslöja sin röst~Nobody should have to reveal their vote|Valmyndigheten ska registrera varje persons partival~The election authority should record each person's party choice|Rösterna ska räknas utan offentlig insyn~Votes should be counted without public scrutiny
10|Man har också rätt att inte delta i valet.|People also have the right not to take part in the election.|Måste den som har rösträtt delta i valet?|Must a person who can vote take part in the election?|Nej, man får avstå~No, people may choose not to vote|Ja, men en blank röst räknas som deltagande~Yes, but a blank ballot counts as participation|Nej, men bara om man anmäler förhinder~No, but only if one reports being unable to vote
